Complexity,Loss,Equation
1,0.27209324,"0.4924438"
2,0.24695396,"exp(-0.42925182)"
3,2.9731636e-6,"8.646448e-9 * ion_pair_rate"
5,2.8215898e-6,"(8.645563e-9 * ion_pair_rate) ^ 1.0006682"
7,2.1186559e-6,"(8.645563e-9 * ion_pair_rate) - (-0.6977398 ^ Udc_kV)"
8,4.862637e-7,"(8.6361185e-9 * ion_pair_rate) * exp(0.1288273 / Udc_kV)"
10,1.8847136e-7,"((1.0224689e-9 * ion_pair_rate) ^ log(Udc_kV)) + (ion_pair_rate * 8.642912e-9)"
12,7.3267245e-8,"(((1.0224689e-9 * ion_pair_rate) ^ 0.95359164) ^ log(Udc_kV)) + (ion_pair_rate * 8.642912e-9)"
14,7.2237235e-8,"(((1.0224689e-9 * ion_pair_rate) ^ 0.95359164) ^ log(Udc_kV)) + ((ion_pair_rate - Udc_kV) * 8.642912e-9)"
15,1.3452741e-8,"((1.0224689e-9 * (ion_pair_rate * ((ion_pair_rate * 0.76079273) * 8.646448e-9))) / Udc_kV) + (8.6361185e-9 * ion_pair_rate)"
