Complexity,Loss,Equation
1,15503.416,"3439.9497"
4,15408.545,"3426.8774 + log(surface_Ez_up_max_es)"
5,12207.174,"3329.6265 + (Udc_kV ^ 0.84980845)"
7,10582.683,"(surface_Ez_up_mean_es ^ (ion_pair_rate ^ -0.049350522)) + 3279.1396"
9,10444.127,"1244.4567 + ((Udc_kV - -6055.1562) / log(log(ion_pair_rate)))"
10,10424.991,"(((Udc_kV - -1732.5538) / log(ion_pair_rate)) * 6.759226) + 2680.8442"
11,9338.116,"3283.1338 + (surface_Er_up_max_es / ((ion_pair_rate + (Udc_kV ^ 3.0267553)) ^ 0.52935594))"
13,9236.118,"(surface_Er_up_max_es / ((ion_pair_rate + ((Udc_kV - 120.34679) * surface_Ez_up_mean_es)) ^ 0.5221564)) + 3267.3442"
15,8632.982,"(3193.132 + (electric_field_r_avg_es / (((Udc_kV ^ 3.0851173) + ion_pair_rate) ^ 0.47423223))) + (2680.8442 / Udc_kV)"
17,8092.97,"(3193.132 + (electric_field_norm_avg_es / (((Udc_kV ^ 3.0851173) + ion_pair_rate) ^ 0.47423223))) + ((ion_pair_rate / 3.3860543) / surface_Er_up_max_es)"
18,8092.7188,"((ion_pair_rate / exp(1.2090007)) / surface_Er_up_max_es) + (3193.132 + (electric_field_norm_avg_es / (((Udc_kV ^ 3.0851173) + ion_pair_rate) ^ 0.47423223)))"
19,8037.9062,"(3193.132 + (electric_field_r_avg_es / (((Udc_kV ^ 3.0851173) + (ion_pair_rate * 0.8560807)) ^ 0.47479594))) + ((ion_pair_rate / 3.3860543) / surface_Er_up_max_es)"
20,7950.5674,"((ion_pair_rate / exp(1.2090007)) / surface_Er_up_max_es) + (3193.132 + (electric_field_r_avg_es / ((((Udc_kV - 120.34679) * surface_Ez_up_mean_es) + ion_pair_rate) ^ 0.47423223)))"
